cmp,,alpha,beta,w_pers_best,w_pers_prev,w_parent_best,detection_threshold
0.1,0.0,1.0,4.0,0.0017540098159148,0.0084471729216077,0.1814385051209235,0.1059947155622872
0.1,0.25,2.0,7.25,0.1005677137258057,0.10290369037238857,0.42220410885117776,0.26597396370492493
0.1,0.5,2.0,9.5,0.2524117367709231,0.4359440557769896,0.6712685135069866,0.3488017264644777
0.1,0.75,2.0,10.0,0.6934555352303847,0.6862216612986716,0.8139487205714664,0.44606148020261915
0.1,1.0,5.0,10.0,0.9803318043883088,0.9823508170176072,0.9878070384965864,0.4927694284042387
0.25,0.0,1.0,7.0,0.0024046982167409,0.0013058587343205,0.129591588157158,0.100402723603361
0.25,0.25,1.25,8.25,0.0756733819115922,0.06347229865149373,0.2997311907279866,0.23890461234152374
0.25,0.5,2.0,9.0,0.2808847629983642,0.23037010247063974,0.5495721396059188,0.3486441528035795
0.25,0.75,2.0,10.0,0.8197824391868092,0.5122486803126786,0.9271467833023219,0.4174973602208792
0.25,1.0,3.0,10.0,0.9838055744003416,0.9749494820560152,0.9860696229889464,0.4965211978807402
0.5,0.0,1.0,6.0,0.0085451982069353,0.0034068150552626,0.0243455716583838,0.1000586776952464
0.5,0.25,1.0,9.0,0.2166259934284717,0.1313765063425955,0.4881966058121041,0.17155855114994417
0.5,0.5,1.0,9.5,0.4424909342602664,0.3817891397291451,0.6673058638088523,0.26602176618163476
0.5,0.75,2.0,10.0,0.8883556777974986,0.7080535723858377,0.9678397769501375,0.3297181067512992
0.5,1.0,3.0,10.0,0.9819332671626134,0.9669078157348256,0.989433046328721,0.4906838085326337
